#Angle	GB_energy	Surf_energy	Coh_energy	Count	X	Z
109.471221	1213.916033	2504.753468	3795.590903	5505	1.399708	1.414214
70.528779	270.068756	3068.379900	5866.691044	13073	3.290897	3.358757
50.478804	1083.143616	3654.600226	6226.056836	10226	2.345208	2.474874
38.942441	1119.937881	3129.188368	5138.438855	17346	4.166667	4.419417
31.586338	1175.582561	2452.323545	3729.064529	29719	7.181459	7.601398
26.525352	1120.166199	2754.170824	4388.175449	23901	5.700099	6.010408
22.843507	1123.440227	2913.864562	4704.288897	16028	3.871477	4.065864
20.049976	1072.060905	3037.240482	5002.420059	6092	1.351662	1.414214
17.860284	1049.348568	2976.417212	4903.485856	37191	9.035602	9.545942
16.098934	1003.873212	2787.100607	4570.328002	52414	12.770554	13.435029
14.652074	976.729559	3026.103390	5075.477221	47212	11.346152	12.020815
141.057559	1207.123515	3193.735072	5180.346629	16499	3.903229	4.065864
86.627713	1054.386359	3173.821386	5293.256413	13448	3.258473	3.358757
58.992417	950.036817	3212.991590	5475.946363	13112	3.215765	3.358757
44.003427	1175.150657	2288.412060	3401.673463	25523	6.172686	6.540738
34.892705	1191.025233	2934.359890	4677.694547	3498	0.833854	0.883883
28.840136	1169.427269	2954.582740	4739.738211	41938	10.038987	10.606602
24.549244	1138.757950	2949.872752	4760.987554	55433	13.439206	14.142136
153.474648	1236.214555	3520.731409	5805.248263	8257	2.054805	2.121320
129.521196	955.913201	3654.344032	6352.774863	17542	4.252083	4.419417
93.372287	1150.860366	3345.607895	5540.355424	6955	1.682900	1.767767
80.631084	904.988415	3270.866836	5636.745257	31089	7.587506	7.954951
62.439397	845.239786	3264.648985	5684.058184	39209	9.394882	9.899495
55.876705	1013.645408	3493.373299	5973.101190	25524	6.234621	6.540738
45.979536	1157.024708	2910.126323	4663.227938	29937	7.180201	7.601398
42.182716	1181.407649	3644.740664	6108.073679	65337	15.672932	16.617009
159.950024	1139.644771	3118.186026	5096.727281	17227	4.231270	4.419417
124.123295	1129.311377	3499.850887	5870.390397	22843	5.533846	5.833631
97.054131	1185.574111	2979.277431	4772.980751	33026	8.007809	8.485281
77.884883	806.714987	3250.936285	5695.157583	29024	7.033852	7.424621
64.301956	770.351259	2307.011974	3843.672689	45907	11.024417	11.667262
54.429845	1052.086231	3361.147919	5670.209607	58943	14.297046	15.026019
163.901066	1046.877624	3240.864749	5434.851874	15309	3.703152	3.889087
148.413662	1245.795329	3339.934305	5434.073281	35409	8.548509	9.015611
134.020464	1131.218363	3161.787044	5192.355725	31219	7.520386	7.954951
121.007583	1172.022202	3093.199192	5014.376182	20696	5.068732	5.303301
99.368916	1177.636397	3531.849641	5886.062885	43489	10.592785	11.136932
90.578755	1126.117913	3192.570302	5259.022691	35541	8.543257	9.015611
82.945869	971.598044	3425.755284	5879.912524	26891	6.543190	6.894291
76.311613	738.491551	3365.389540	5992.287529	37197	9.010993	9.545942
61.017918	893.094126	3613.848950	6334.603774	76349	18.362277	19.445436
166.557261	973.509688	3252.886662	5532.263636	34535	8.391004	8.838835
118.982082	1200.390454	3605.234772	6010.079090	18704	4.530921	4.772971
100.957607	1208.849267	3357.919724	5506.990181	3500	0.836363	0.883883
168.463638	909.273560	3150.611759	5391.949958	4129	1.005089	1.060660
157.156493	1186.317972	3139.705432	5093.092892	17908	4.368874	4.596194
146.281580	1268.583682	3405.187940	5541.792198	54730	13.283567	13.965359
135.996573	1165.380723	3291.344198	5417.307673	34280	8.220931	8.662058
126.405485	1084.821445	3235.486539	5386.151633	33520	8.009049	8.485281
117.560603	1206.099584	3342.256727	5478.413870	28123	6.681921	7.071068
95.449712	1179.005676	3082.381026	4985.756376	712	0.167441	0.176777
169.897695	854.490372	3151.200643	5447.910914	13799	3.346329	3.535534
150.297875	1272.773264	3468.948749	5665.124234	29799	7.189663	7.601398
132.314728	1089.542156	3210.485495	5331.428834	21975	5.214217	5.480078
162.139716	1083.484932	3163.026807	5242.568682	70309	17.050720	18.031223
